ID	GoogleMapsID	Name	Types	Address	Phone Number	International Phone Number	Opening hours	Website	Operational	Rating	Total Reviewers	Reviews	Wheelchair Accessible	Latitude	Longitude
10	ChIJCTKhCFc_VBMRYVeqTLsON1M	Винарија Мирон (Miron winery)	point of interest, food, establishment	Palmiro Toljati 88, Skopje	075 336 482	+389 75 336 482	Monday - Saturday:  8:00 AM – 6:00 PM  Sunday:  Closed	www.mironvinarija.mk	OPERATIONAL	5.0	2	Review Author: Steffan Oberman | Rating: 5 | Text: Great wines and rakija but most importantly passionate and knowledgeable winemakers. Definitely recommend (also for English speakers). | ------Review Author: M Tasss | Rating: 5 | Text:  | ------	No	42.0022688	21.498154
11	ChIJzfXjUSs-VBMRPag96_whDpA	Skovin AD Skopje Winery	point of interest, food, establishment	15th Korpus No. 3 Skopje 1000	02 314 5701	+389 2 314 5701	Monday - Friday:  8:00 AM – 4:00 PM  Sunday:  Closed	Not found	OPERATIONAL	4.9	11	Review Author: goran jakimovski | Rating: 5 | Text:  | ------Review Author: Aleksandra Stojkovska | Rating: 5 | Text:  | ------Review Author: Dimitar Stojanovski | Rating: 4 | Text:  | ------Review Author: Marjan | Rating: 5 | Text:  | ------Review Author: Marijana Popovska | Rating: 5 | Text:  | ------	No	42.0004846	21.4785826
12	ChIJ5-exxgAVVBMRYZt9VX3MFig	Plus Ingenering	point of interest, food, establishment	2C6J+PXP, Makedonsko Kosovska Brigada, Skopje		Not found	Not found	Not found	OPERATIONAL	0.0	0	Not found	No	42.0118401	21.4324579
13	ChIJKWJj4cgVVBMREARCU35_Z4s	Skovin Winery	liquor store, point of interest, store, food, establishment	11th October St. локал 306, Skopje		Not found	Monday - Friday:  9:00 AM – 7:00 PM  Saturday:  10:00 AM – 5:00 PM Sunday:  Closed	Not found	OPERATIONAL	4.8	4	Review Author: KATINA G | Rating: 5 | Text: The shop is next to the sweet shop, sugar and wine go perfectly fine.nDuring the summer, they sell fresh grapes. | ------Review Author: Nedjo Mehmed | Rating: 5 | Text:  | ------Review Author: Mihail Nakov | Rating: 5 | Text:  | ------	No	41.987347	21.436772
14	ChIJW8asLksUVBMRtT9fuTRjRfc	Wines Kamnik	liquor store, point of interest, store, establishment	br. 13, Dimitrija Chupovski, Skopje	02 311 7080	+389 2 311 7080	Monday - Friday:  9:00 AM – 9:00 PM  Saturday:  10:00 AM – 5:00 PM Sunday:  Closed	www.chateaukamnik.com	OPERATIONAL	4.8	80	Review Author: Dmitry Matiuhin | Rating: 5 | Text: Nice winery shop, though no option to taste before purchase. Prices are at least 30% lower than in Duty Free. Meanwhile I tasted only Orange wine (Gewurztraminer) - and it was very good. Have 2 more bottles of wine and 2 bottles of Rakia to taste. | ------Review Author: Robert Pavlov | Rating: 5 | Text: Great service. The staff is always helpful and they have good knowledge about the products they sell. Temjanika, Cuvee de Prestige and Chardonnay Barell Fermented are a must try! | ------Review Author: Илија Господинов | Rating: 5 | Text: Good selection, not only by the Kamnik. Can order online then pick up at the shop. | ------Review Author: ana kap | Rating: 4 | Text: Nice winery with very good selection of wines | ------	No	41.9951829	21.4271862
15	ChIJwZVnaU8VVBMRDGP_SIqPoks	Wine Berry	bar, point of interest, food, establishment	Metrpolit, Mitropolit Teodosij Gologanov 36 .4 / 5, Skopje	070 340 243	+389 70 340 243	Monday - Saturday:  11:00 AM – 11:30 PM  Sunday:  Closed	www.wineberry.mk	OPERATIONAL	4.7	70	Review Author: Dmitry Matiuhin | Rating: 5 | Text: Super cosy wine bar, owner Jadranka (hope I got the name right) gave me a wonderful tasting tour along with a lecture about the local wine industry. Highly recommended! | ------Review Author: Oliver Heldt | Rating: 5 | Text: Wonderful wine bar in Skopje where I tried several wines and was surprised once again about the Vranec grape. I will be back soon. | ------Review Author: Oskar Palmenfelt | Rating: 4 | Text: We had a wine tasting and it was interesting and we learned allot. They could arrange it with short notice.  But some miscommunication made it take a long time. | ------Review Author: Niranjan Suri | Rating: 5 | Text: Excellent Wine Bar in Skopje with a good collection of local wines from Macedonia. Owner was very knowledgeable and we thoroughly enjoyed our experience there. The only place we found in Skopje that actually qualifies as a wine bar in my opinion. | ------Review Author: Lianna | Rating: 5 | Text: Love this wine bar and shop. There are many types of Macedonian wine to try. And also imported wines. Friendly and relaxed atmosphere | ------	No	41.9949643	21.421477
16	ChIJB18KZLQVVBMRWx6XWKvZE_4	Skovin	liquor store, point of interest, store, food, establishment	Македонија 53, Skopje	02 322 2477	+389 2 322 2477	Monday - Friday:  9:00 AM – 9:00 PM  Saturday:  9:00 AM – 8:00 PM Sunday:  9:00 AM – 1:00 PM	Not found	OPERATIONAL	4.3	3	Review Author: Jacob Taylor | Rating: 4 | Text: They have some excellent cognac for good price. Compare to other stores Vero. Remy XO cheaper then Hennessy XO. Also they helped me find a store for a kids birthday present. | ------Review Author: Violeta Stojanovska | Rating: 5 | Text:  | ------Review Author: Zoran | Rating: 4 | Text:  | ------	No	41.9956295	21.4310744
17	ChIJDWQZsv8VVBMRZG8-UKbRcyg	Wine Tours Macedonia	travel agency, point of interest, establishment	8-mi Mart 18, Skopje	070 958 307	+389 70 958 307	Monday - Sunday:  Open 24 hours 	www.winetours.mk	OPERATIONAL	5.0	4	Review Author: Kristian Godfrey | Rating: 5 | Text: Excellent initiative and business concept.. and hopefully profitable..Superb selection of wineries. Good luck guys and enjoy! | ------Review Author: Kalanoska Irena | Rating: 5 | Text:  | ------	No	42.0014049	21.424255
18	ChIJ-REkEGNrVBMRiDvuxaeTzGk	Brazda Hills	point of interest, food, establishment	Chucher-Sandevo		Not found	Not found	Not found	CLOSED_TEMPORARILY	5.0	1	Review Author: Muhamed Bilalli | Rating: 5 | Text:  | ------	No	42.0775025	21.4041701
19	ChIJacEi5bmNVRMRa6QXwZwNyKg	GALVIN WINERY&VINEYARDS	food, point of interest, establishment	VGM4+882, Marsal Tito, Vinica		Not found	Not found	Not found	OPERATIONAL	0.0	0	Not found	No	41.883273	22.5057707
20	ChIJj851y9EtVBMRxZAmdvw_qVM	Bela Voda - Tikves Winery Vineyadrs	point of interest, establishment	QQXC+GVP, Sojaklari		Not found	Not found	www.tikves.com.mk	OPERATIONAL	3.0	4	Review Author: Kirstin Popov | Rating: 1 | Text: Slowest service I have experienced anywhere in the world. Spent 45 minutes waiting for any employee to acknowlege our existence. Only got their attention when we walked into the server area to take our own menus. Drink order took 20 more minutes. Only ordered water and a bottle of wine. | ------Review Author: Milanco Vukmirovikj | Rating: 1 | Text:  | ------Review Author: B B | Rating: 5 | Text:  | ------Review Author: Blagoja Josheski | Rating: 5 | Text:  | ------	No	41.7988315	21.7721987
21	ChIJOztc23aNVRMRX0DyR4kvyw0	Galvin	food, point of interest, establishment	VFVR+P9V, Vinica		Not found	Not found	Not found	OPERATIONAL	0.0	0	Not found	No	41.8945413	22.4905057
22	ChIJT2v94mKTVRMRvM9IhOUzAvs	Vinarija Jordanov	food, point of interest, establishment	Local Road MK	070 309 975	+389 70 309 975	Not found	Not found	OPERATIONAL	0.0	0	Not found	No	41.9168865	22.4083052
23	ChIJUa02iv-NVRMR3fS_pctTWzs	Vinika Winery	food, point of interest, establishment	Ilindenska 4, Vinica	078 451 456	+389 78 451 456	Monday - Friday:  9:00 AM – 6:00 PM  Saturday:  9:00 AM – 2:00 PM Sunday:  Closed	www.vinika.mk	OPERATIONAL	0.0	0	Not found	No	41.8859178	22.5001307
24	ChIJ40phiwW1VRMROwz5Os_sg0Y	ZIK Winery	food, point of interest, establishment	2W3H+G56, K'shanje	071 209 603	+389 71 209 603	Monday - Friday:  7:00 AM – 3:00 PM  Sunday:  Closed	www.zikwine.com	OPERATIONAL	5.0	8	Review Author: Mile Kostov | Rating: 5 | Text:  | ------Review Author: Kokan Stojanovski | Rating: 5 | Text:  | ------Review Author: lukas stojanovski | Rating: 5 | Text:  | ------Review Author: Stojan Pesevski | Rating: 5 | Text:  | ------Review Author: Jovanka Savkovska | Rating: 5 | Text:  | ------	No	42.0037876	21.9278854
25	ChIJu2pBd21OVBMRb8PdMnotlSU	Vinarija PREMIUM	food, point of interest, establishment	4P8X+FF9, Kumanovo		Not found	Not found	Not found	CLOSED_TEMPORARILY	4.9	10	Review Author: Gay De Bil | Rating: 5 | Text: Andrej is great housekeeper, very open and friendly. Free testing of his wine for customers is good idea, but you must say that you want just test it, not drink to death, otherwise he will bring you half liter of each..;-) Rose is top dog of his wines, try it! Vranec is good also and it is local species. Rooms are clean and comfy. His parents helping him are very friendly too. The place is..a bit...hidden and near industrial zone, but it does not matter, this hotel is must be in if you look for an accomodation near this location. Good prices at all, good wine, good fella on the reception, what more are you waiting for? Go there! Absowinelutely!nPS: bring some meat for the cats. | ------Review Author: Zoran Janković | Rating: 5 | Text: Excellent Hotel. Quiet area. Clean and tidy. All possible Serbian channels on TVs in the rooms. Excellent breakfast. Beautiful ambience outside.nThe owner, Andrej, is a wonderful man.nBeautiful wines.nAll the best!!! | ------Review Author: Александр М | Rating: 5 | Text: Very good! quiet, large room, super bathroom | ------Review Author: Agro Flora | Rating: 5 | Text:  | ------Review Author: xvolume | Rating: 4 | Text:  | ------	No	42.1161624	21.7487212
26	ChIJhzWrOguJVRMRHhDmSQ9205o	Winery DRUM - Винарија ДРУМ	food, point of interest, establishment	VJW3+3XG, Dragobrashte	078 350 406	+389 78 350 406	Monday - Saturday:  8:00 AM – 8:00 PM  Sunday:  Closed	Not found	OPERATIONAL	0.0	0	Not found	No	41.8951769	22.6049661
27	ChIJefYG9sD7VRMRxPeuoS87b7E	“Kukutanov“ Winery - Винарија “Кукутанов“	food, point of interest, establishment	Bela Crkva bb, Radovish	078 412 927	+389 78 412 927	Monday - Saturday:  9:00 AM – 5:00 PM  Sunday:  Closed	www.kukutanov.com	OPERATIONAL	4.0	1	Review Author: Dimitar Bozadjiev | Rating: 4 | Text: Excellent wines and excellent hospitality. | ------	No	41.6310025	22.4657802
28	ChIJF6O74m0CqhQR5od65h9Ofj0	Dalvina Winery	liquor store, storage, food, point of interest, store, establishment	R1302, Hamzali	034 375 578	+389 34 375 578	Monday - Friday:  7:30 AM – 3:30 PM  Sunday:  Closed	www.dalvina.com.mk	OPERATIONAL	4.8	20	Review Author: Kiprijan | Rating: 5 | Text: top-grade grapes, exclusive technology, with great love, special assortment of wines!nI recommend them!n🍷cheers! | ------Review Author: Christoph Meyer | Rating: 5 | Text: One of the best wineries in Europe! | ------Review Author: Lorens Panzov | Rating: 5 | Text: Excellent wine, very good experience, recommendations for all tourists | ------Review Author: Robert Martinovski | Rating: 5 | Text: Amphora law, best buy, great quality for decent money | ------	Yes	41.4899341	22.7446734
29	ChIJW7BhA8xtVhMRkM7Qs5-jusI	Royal winery „Queen Maria“	food, point of interest, establishment	Marshal Tito 63, 1442	070 324 921	+389 70 324 921	Monday - Sunday:  8:00 AM – 11:00 PM 	www.wineryqueenmaria.com	OPERATIONAL	4.6	157	Review Author: Jelmer W | Rating: 5 | Text: Winery offering also rooms. There are two restaurants available for family events. Located at the entrance to the city. Big park with peacocks walking loose around. | ------Review Author: Igor Gasenberger (Gas) | Rating: 5 | Text: Very organized and professional winery. Great food and local traditional wines. Every recommendation for this place. Must wist place if you are near by! | ------Review Author: Knut Grønnvoll | Rating: 5 | Text: Great restaurant with excellent wine and good food. Better wine and service than the more famous Popova Kula for a much better price. | ------Review Author: Aleksandra Arsova | Rating: 5 | Text: Peaceful and historical winery with an amazing nature around. The hosts were very polite and the food was amazing. The red wine that they produce was very good! Highly recommend this place! | ------	Yes	41.4140987	22.233366
30	ChIJdyDA_jltVhMR8OtaYrkgnKQ	Winery „Popova kula“	liquor store, lodging, restaurant, food, point of interest, store, establishment	Wine Boulevard No.1, Demir Kapija	076 432 630	+389 76 432 630	Monday - Sunday:  8:00 AM – 11:30 PM 	www.popovakula.com.mk	OPERATIONAL	4.5	570	Review Author: James Thompson | Rating: 2 | Text: Beautiful place, very big room, they knew English (good thing).nnThe room was a littlebit dirtier than expected, but not as much to be a problem. The jacuzzi and the TV did not work sadly,  the Wifi had a poor signal.nnDespite of theese, it was a good experience in overall. | ------	Yes	41.410885	22.226565
31	ChIJ62aJNuAlVhMRQCFltDCTTls	Jostela Winery	food, point of interest, establishment	Moinski Pat, Gevgelija	070 305 149	+389 70 305 149	 5: 00 – 10:00 PM Sunday:  11:00 AM – 2:00 PM	www.jostela.com	OPERATIONAL	5.0	20	Review Author: slavica makarovska | Rating: 5 | Text: Jostela Winery: A true gem! Exceptional wines, warm ambiance, and friendly staff. A perfect blend of taste and hospitality. A must-visit destination for wine lovers! 🍷🌟 | ------Review Author: Kay Lacy | Rating: 5 | Text: Out of the many of wineries I have visited in my life, Jostela is by far the most gracious and welcoming. Amongst their humble surroundings, they manage to provide some of the best wines and rakija I have tasted in years. Their incredible hospitality made me feel like I was visiting old friends. 10/10 will visit again | ------Review Author: Ivana Saragjinova | Rating: 5 | Text: Awesome wine tasting, delicious wine, great hosts. The whole experience was amazing. Recommend. | ------Review Author: Marko Kostovski | Rating: 5 | Text: This is my first time coming here. A friend told me about this place and how beautiful it is especially on sunny days, and that I need to visit it. They were not wrong - I loved every minute of my stay! The atmosphere is so cozy, the owner is warm and welcoming and gave us a wonderful tour. The wines are exquisite, and I especially loved the cherry liqueur. The degustation featured some nice cheese and ham plates all from local small producers and was delicious! Highly recommend!! | ------Review Author: Ratko Ratkovikj | Rating: 5 | Text: An experience like no other! The owners are amazing and gave us a wonderful tour of the winery. The property itself is beautiful, peaceful and surrounded by greenery. The wines are truly one of the best in Macedonia. Highly recommend. | ------	Yes	41.1355959	22.4833692
32	ChIJ0_qpcz5tVhMRav04DAcF7gg	Кралска винарија „Кралица Марија“	food, point of interest, establishment	Marshal Tito 63	043 446 500	+389 43 446 500	Monday - Sunday:  7:00 AM – 12:00 AM 	www.wineryqueenmaria.com	OPERATIONAL	4.6	592	Review Author: dejan tosevski | Rating: 5 | Text: Excellent location on a large area. Large parking lot. Helpful waiters and delicious food. They have one of the best wines in the region. | ------Review Author: Pete I | Rating: 5 | Text: Polite staff, tasty food, pet friendly. The big problem for me and other clients with children is that smoking is allowed in the restaurant. It was freezing in the rooms. | ------Review Author: Nikolina | Rating: 5 | Text: Excellent place with great food and exceptional wine list. They have kids menu and closed playground for the youngest. We came here on a rainy day and while we did enjoy the restaurant we had to come back for a second time just to walk around and enjoy the nature.nIts very beautiful,peaceful and fulfilling | ------	Yes	41.41392	22.233563
33	ChIJSR-7IvQjVhMR6wChInri2zA	Markudov Winery	food, point of interest, establishment	5G24+M98, Industriska, Gevgelija	034 214 094	+389 34 214 094	Not found	Not found	OPERATIONAL	4.9	15	Review Author: Angel Petrov | Rating: 5 | Text: Very good | ------Review Author: Goran Babic | Rating: 5 | Text: Great place, excellent. | ------Review Author: gorgemandalov | Rating: 5 | Text:  | ------Review Author: Nenad Djokovic | Rating: 5 | Text:  | ------Review Author: Ratko Todorov | Rating: 5 | Text:  | ------	No	41.1516572	22.5059438
34	ChIJWTr5fVEcVhMRa0Z81WLKwfs	Valandovo Winery	food, point of interest, establishment	Orce Nikolov 6, Valandovo	034 383 880	+389 34 383 880	Monday - Sunday:  9:00 AM – 4:00 PM 	www.vizbavalandovo.com.mk	OPERATIONAL	4.7	16	Review Author: Marina Dimova | Rating: 5 | Text: Super | ------Review Author: Andreja Stamatov | Rating: 5 | Text: Quality comes first | ------Review Author: Stevo Rajevski | Rating: 2 | Text:  | ------Review Author: Bojan Shik | Rating: 5 | Text:  | ------Review Author: Slagjan Stajik | Rating: 5 | Text:  | ------	No	41.3195595	22.5663368
35	ChIJVVVVVQbhqRQR0sMsb07B3_k	AgroLozar AD	food, point of interest, establishment	6MPC+C6C, Crnichani		Not found	Not found	Not found	OPERATIONAL	0.0	0	Not found	No	41.2360545	22.6705194
36	ChIJq6qqajYgVhMRrjRWwAnOzN4	Агролозар АД	food, point of interest, establishment	5HRH+JV6, Ring Road, Bogdanci		Not found	Not found	Not found	OPERATIONAL	0.0	0	Not found	No	41.19153550000001	22.5796377
37	ChIJm6zeDuRlVhMR3itUdp_hF2w	Zaharchev Winery and Distillery	food, point of interest, establishment	Kosovska 16, Kavadarci	070 253 103	+389 70 253 103	Monday - Friday:  2:00 – 10:00 PM  Sunday:  8:00 AM – 10:00 PM	www.zaharchev.mk	OPERATIONAL	5.0	14	Review Author: Roza Trajkovikj | Rating: 5 | Text: Small family winery from Tikvesh region.nEvery vine is made from unique Macedonian and Balkan grapes varieties. Stanushuna, Temjanika, Plovdina, Vranec and Prokupec.nGood choice for every palate.nnThe home made grape syrup - Madjun, typical for the region, is full of natural resveratrol and antioxidants. | ------	No	41.4360468	22.0048696
38	ChIJcd6RyOt7VhMRQgC0X5PG-UQ	Winery „Lazar“	food, point of interest, establishment	Naseleno mesto bez ulicen sistem MK, Stobi, Palikura	071 281 566	+389 71 281 566	Monday - Sunday:  12:00 – 9:00 PM 	www.lazarwinery.mk	OPERATIONAL	4.8	305	Review Author: maxime garenaux | Rating: 5 | Text: Highly recommended place to stay and enjoy a large selection of good wines and food during your holidays. The old city of Stobi is 500m away across the highway which you do not hear from the place. The food from the restaurant is particularly good and well presented. We would recommend it with the wine pairing. The waiter (who speaks English) gives good description and advice of the wines and make sure you have a perfect time here. | ------Review Author: Zorica Boljanović | Rating: 5 | Text: We stopped by to have lunch on the way back from our vacation. The food was great, everything was delicious and portions were more than enough. The ambiance was peaceful, and prices were more than affordable. Lunch for 4 people, with drinks plus some side dishes was 50eur. Next time we plan to stay overnight. Definitely recommend! | ------Review Author: Jelmer W | Rating: 5 | Text: Excellent location to have a bit to eat and drink some good wines. Best winery for us in Macedonia.nnThe food is good and the wines are rich in flavor. The best part about the winery, however, is its level of service. We initially stumbled upon the place wanting to get a coffee but ended up having lunch (carp and risotto) with a wine tasting. As we had to drive our server suggested letting us taste half glasses of their white wines. He was funny, knowledgeable and helpful.nnDefinitely recommend going here if you are passing by or visiting the ruins of Stobi. | ------Review Author: Norbert Tirica | Rating: 5 | Text: Very nice and clean place with tasty and various foods and drinks and professional waiters. Very good place for who drive on a Nord Macedonia’s highway from south to north, only a few hundreds meters from the highway. | ------Review Author: Skogen | Rating: 5 | Text: I would like to comment just restaurant which we visited on our way to Stobi. Cuisine really surprised us. Modern, tasty with delicious wine. Nothing like this I meet in Macedonia. Worth to stop on your way to or from Greece. Prices around 15€ on person. | ------	Yes	41.546456	21.9724705
